date,mins,das,T04A1,T04A3,T04A4,T04B1,T04B2,T04C1,T04C3,T04C5,T04D4,T05A1,T05A2,T05A4,T05B4,T05B5,T05C2,T05C3,T05C5,T05D3,T05D5
2018-09-25 17:10:40,21190.666666666668,14.715740740740742,-2.731692282516983,2.851443265527637,-10.23611647659394,-1.347133834433508,-3.150667469094519,-0.22571145228536976,6.344970104757067,-20.8068140991141,-12.56287219875616,2.7907769385019003,0.24068507125899458,-3.282147507152663,-1.3045196045627563,2.5966060103671316,-1.5084505349525048,-4.40053533530051,-8.738396617741829,5.320449799097235,-7.283326359588772
2018-09-25 17:40:44,21220.733333333334,14.736620370370371,-2.747399455639656,2.0678602920287705,-11.750600670043305,-3.2045576720607554,-3.325340787860312,-4.239593117412919,2.791302581063172,-25.125054542384564,-12.903224195638463,4.663836181655554,-1.2965532034775171,-4.62942632246792,-0.0398269034090724,2.6039489147568675,-0.28371065061956513,-5.208117931521034,-10.744492003379781,-4.5224429989515595,-9.01410319158676
2018-09-25 17:55:40,21235.666666666668,14.746990740740742,-2.6371336639468335,5.9067147901929085,-13.682543288432639,-3.5453448957594524,-4.469833105532281,-4.130880466814137,0.5449980938402231,-23.52357351159565,-8.725068638178637,2.7807177138294903,-1.8297868389762717,-5.654822410717378,0.1227795869447165,2.372938181595902,0.5640613646307394,-5.728879785935437,-9.161787916463345,-3.685612499533052,-7.646299741135906
2018-09-25 18:10:42,21250.7,14.757430555555556,-2.765473780627487,-1.7733699412055384,-12.797492960698582,-6.004657028632302,-5.851380420207912,-2.145768178781546,4.639953688803897,-30.622430054807005,-14.184561734406639,3.2451733674435133,-1.4260959295508084,-6.213301388424876,0.2847512956454203,0.729558123703876,-0.9389280388983136,-5.782480921345289,-12.751902810002562,-8.727041045107695,-8.866130784198285
2018-09-25 18:25:47,21265.783333333333,14.767905092592592,-8.771233310273576,-4.5211041439866655,-21.31450573725461,-8.936372101443142,-5.589308359587981,-3.453064248945711,-0.6676237317799086,-30.439934016080166,-12.595753418181557,0.18298779540944593,-3.3744984281255865,-7.243804196999012,-0.7286714515010692,-0.44543032493340007,-0.5623719662694613,-8.657978362823151,-13.993853257477692,-9.305610917896077,-10.322679486436021
2018-09-25 18:40:56,21280.933333333334,14.778425925925927,-8.669834549724289,-3.7469473746172115,-19.02392125077499,-6.93589247428371,-2.9788570885202486,-5.703192358812317,-2.2181656106433447,-29.32169225701484,-14.768975884948073,0.1738806476197831,-0.39034625297762204,-6.631704326261761,-0.8025718634736637,1.432700517008272,1.4586244124990573,-7.540707048576952,-14.297984993959792,-8.476716429237586,-10.841268329002448
2018-09-25 18:55:20,21295.333333333332,14.788425925925925,-3.851330064416925,-2.014206234373171,-18.129798722857867,-0.45429661202615246,-2.7086862276950665,-3.941123748489611,3.2986552846026083,-37.81418675434229,-13.168375067950421,2.291064567855628,-3.7370826824251866,-6.474264928493604,0.06704359704211697,0.9717724996450309,-0.9808620430721205,-7.114827059338929,-11.532849460834173,-6.926635641132356,-8.996559406240095
2018-09-25 19:10:10,21310.166666666668,14.798726851851853,-2.8045704060517105,-3.1142558507569134,-18.655189189848425,-5.263947436345613,-3.855197508712704,-3.3658273559092535,-0.36155848559361004,-29.63865726491336,-13.221889731535885,1.8154311175792965,-3.5686511418082465,-6.562144071939149,-1.415604571096075,0.9732429156733021,-1.5431806702121993,-5.523249038935506,-12.537242682867225,-7.267451455774047,-9.510741733558206
2018-09-25 19:25:09,21325.15,14.809131944444445,-5.757690626674802,-7.039631295268961,-24.354612997543118,-11.488338378069773,-8.529488370843236,-6.085409221448334,-1.4418145821409252,-32.98529854054256,-10.459052820547544,-0.3084744450956944,-2.934357797456042,-6.654231384728986,-0.07913766903139645,1.676521812901163,-0.2265765834606074,-7.695520430668891,-16.130496114775347,-7.612714382481403,-10.028529812913632
2018-09-25 19:40:49,21340.816666666666,14.820011574074073,-5.203900716089689,-6.519701744639449,-26.778647729299685,-10.210017454239658,-4.519069695731282,-2.00812983523526,-0.6605853879575551,-33.068026792235266,-12.17532792119228,-1.0344082873086113,-3.2551809225393753,-5.352252568401147,-1.3311862018799088,-0.6868905297999097,-1.2643866562342778,-8.942127068198317,-17.388477241842164,-9.384802167534335,-11.735058282441114
2018-09-25 19:55:26,21355.433333333334,14.830162037037038,-3.685430060289604,-6.2079461710632255,-24.483065533166602,-6.088373676267495,-6.604623915821528,-3.0760519522879823,-1.0292608937266303,-33.115624650420855,-11.521803898126553,-0.5690259666513858,-4.260588516453877,-6.84822394479461,0.0067796346364458766,0.4905178132678665,-1.355784222941442,-9.229114751983584,-17.450976457937834,-5.9636196736583615,-8.957492765095466
2018-09-25 20:10:12,21370.2,14.840416666666668,-4.756853183255192,-8.956531943275142,-25.951530795073467,-7.611485660526744,-7.282965732001883,-4.853865831887867,-3.0479944010413464,-26.12041747018171,-9.696935008759516,-1.0469258276223175,-3.625147777956646,-7.643413231498961,-0.5361406311514912,0.7247245044418608,-1.6832599792867133,-7.639962349533135,-13.52234413853411,-11.241894672379408,-9.003540808925552
2018-09-25 20:40:16,21400.266666666666,14.861296296296295,-9.501627102834183,-8.362174030508596,-25.61242428411245,-9.734128837681764,-6.064290225209722,-3.7264203264098223,-3.3429376870559544,-29.779836405534073,-12.404905482283393,-2.4840675381380537,-3.3086024621331083,-10.188418506160165,-0.21507237656640527,-2.107921360207385,-0.22698806741800268,-8.470016248255707,-15.07850677047233,-11.943900660715057,-10.283177576291006
