date,mins,das,T06A2,T06B3,T06B4,T06B5,T06C2,T06C4,T06D2,T06D3,T06D5,T07A1,T07A2,T07A5,T07B1,T07B2
2018-09-25 17:10:40,21190.666666666668,14.715740740740742,3.411217266949718,-1.3221735348625636,13.440009755974145,0.7426399066592941,-6.067566132263503,-5.100820784418171,-2.468955896603014,-1.7470345922390884,-1.0283849733568953,13.213020582169221,6.79028991598343,-4.45985190213573,-4.015257359789869,1.3532843178081986
2018-09-25 17:40:44,21220.733333333334,14.736620370370371,2.7391592299919987,-0.27166467516563997,11.517870836214193,-1.5868053904628205,-3.599804874000372,-7.96114755478308,-3.833339207361134,-4.95624634253677,-1.5810213168636957,13.192714402295106,6.564226832131651,-4.399680716863928,-5.141684737320103,0.34783752035079313
2018-09-25 17:55:40,21235.666666666668,14.746990740740742,6.164392175411034,-0.9212967436817048,10.674889034217053,1.0087753830905497,11.851696977792342,-5.043327783769736,-0.40262869624810005,-2.095769548858181,-0.5649020592837536,14.123066466597155,3.866974522459127,-1.9017402667343104,-2.2970242526015214,-4.031771340255948
2018-09-25 18:10:42,21250.7,14.757430555555556,4.884102553375226,-1.3378610688087516,13.353131893558704,-0.8629491425442961,-4.657373775175222,-6.594344630895488,-3.0853296819486187,-2.527412284700903,-0.9606016341522343,12.463395057330636,3.7487357760039757,-3.8721622866832455,-4.624464098295209,-5.597895094646161
2018-09-25 18:25:47,21265.783333333333,14.767905092592592,6.1851730015984,-1.9907676914664756,12.503828927491217,-1.3262398127893038,-4.716823941566708,-6.7379725256081935,-3.655358153898084,-3.1955362254956223,-1.35760048815321,11.270278122018823,1.041428216864365,-4.904887061396775,-4.60331037301759,-6.228495844879868
2018-09-25 18:40:56,21280.933333333334,14.778425925925927,0.6669385284544312,-2.175230327415948,11.181541520609427,0.08863874748369198,-2.661721909654175,-8.764650613987374,-5.168103015690823,-2.92537341331111,-1.051090182314921,11.248148003678004,8.199365165029974,-6.175295514996499,-5.523809829290043,-4.279307447650428
2018-09-25 18:55:20,21295.333333333332,14.788425925925925,2.9309500917432225,-1.881258447642317,11.521960013431576,-1.5408566498308984,-5.53882705906221,-6.308717275017552,-4.550279871008374,-3.3510989983366226,-0.03220952053462952,11.718650316854704,3.869866850404363,-6.020498841199541,-3.144300874181096,-6.765903323364492
2018-09-25 19:10:10,21310.166666666668,14.798726851851853,8.231567692223601,-1.5932971242732026,10.910160678839592,0.3472593238593504,5.682173104000306,-5.275052263157195,-1.8283300686284663,-1.6683635047977574,-1.133767301595748,10.998254278007296,-0.9488070966037514,-3.7613654341470895,-2.4166502983265534,-7.158065024705433
2018-09-25 19:25:09,21325.15,14.809131944444445,2.244658755015215,-1.5429145654312593,10.293262356672953,-0.8227290126662813,-3.3076054893321305,-5.186550007441177,-4.515966403164351,-3.043449894532743,-0.5927251727525119,10.271119487140627,3.1544590811666895,-6.2067453845035505,-4.746844350644059,-6.6189594537600085
2018-09-25 19:40:49,21340.816666666666,14.820011574074073,3.984358837084852,-1.0317480913995583,10.127557236102446,-1.7690799666744261,-1.4903067247251367,-6.291910395398254,-1.5803152515519914,-2.783554185726757,-1.7049881841398111,9.989565606477845,3.703237660856519,-5.848506871079858,-5.442604520999653,-7.521434024893065
2018-09-25 19:55:26,21355.433333333334,14.830162037037038,7.64324939066408,-2.6233277453272583,10.927422300276108,-1.7600635599982482,-5.543987216625122,-7.371792508542747,-4.497131074569944,-3.685403397204246,-0.6914724678364933,10.915804656535512,0.061883761788515124,-5.703243906107042,-4.478929378160334,-9.086560411183369
2018-09-25 20:10:12,21370.2,14.840416666666668,7.06459530089589,-2.337496268825745,10.312173157216934,-0.5791613906981191,6.146551564181872,-7.516854156604653,-1.3085482826684378,-2.0050861598883913,-0.8553689096140782,9.485281431524319,4.4024441063218065,-2.7425098353961497,-2.8131068161848356,-5.960450543403564
2018-09-25 20:40:16,21400.266666666666,14.861296296296295,3.7661360311027248,-2.714750815961945,9.298995194728253,-1.283113348262346,-3.610075365344455,-7.3548633390907865,-2.9372673929485873,-2.1792047762672055,-1.8964414291990987,8.480905571868087,2.245638819291904,-4.826668974909302,-4.426331131240116,-10.078458153692743
2018-09-26 07:05:29,22025.483333333334,15.295474537037038,-2.537298506236744,-3.301350574389199,1.4899263811375794,-1.0204324489124268,0.028509297691164545,-4.422309714172437,-2.0076203934496775,-3.049037594470413,-3.0751906914929727,10.935385330821347,-8.207436799516906,-2.185995132750843,-3.410160784555038,-5.119464407542397
2018-09-26 07:20:09,22040.15,15.305659722222224,-2.9587192511628704,-2.3453453558448696,1.7552956308495617,-1.0520747682832532,-1.9192296735092473,-1.105365191042428,-0.9906955742757599,-2.1129478174576257,-3.746127944451455,10.359374963745228,-3.964575684334908,-0.9270850874917229,-4.596292098514895,-1.870188110601369
2018-09-26 07:35:09,22055.15,15.31607638888889,-3.867036742854748,-3.275211582589167,0.1291586202121772,-1.5607360895007851,-4.338718818169253,-0.6200996429904677,-1.159152676329673,-3.063296901741362,-3.7175921538982744,11.178085476019412,2.140059378698015,0.32159633165349305,-3.2038314800018806,1.124276332334209
2018-09-26 07:50:10,22070.166666666668,15.32650462962963,-2.663111947538547,-3.97123713973073,-1.4990190681611022,-1.6006762492873499,0.291500802121471,-0.8419755011515678,1.255469517783431,-1.1949449575948177,-3.690262939650997,11.053914485740084,4.716368327135735,3.4483593112317417,-1.3424788339451952,0.11997865322973439
